,Organization,Operating,Peak Size,Econ.a,Regimeb,Typec,Goald,Endede
0,"East Turkistan Liberation Organization (China, Kyrgyzstan)",2002–,100s,LM,NF,N,TC,—
1,Eastern Turkistan Islamic Movement (China),1990–,100s,LM,NF,N,TC,—
2,Ecuadorian Rebel Force (Ecuador),2001,10s,LM,PF,R,PC,—
3,"Egyptian Islamic Jihad (Egypt, Afghanistan)",1978–,100s,LM,NF,R,RC,—
4,Egypt’s Revolution (Egypt),1984–1989,10s,LM,PF,N,PC,PO
5,Ejercito del Pueblo en Armas (Venezuela),2002–,10s,UM,PF,LW,SQ,—
6,"Eritrean Islamic Jihad Movement (Eritrea, Ethiopia, Sudan)",1980–,"1,000s",L,NF,R,RC,—
7,"Eritrean Liberation Front (Eritrea, Ethiopia)",1960–1991,"10,000s",L,PF,N,RC,V
8,"Eritrean People’s Liberation Front (Eritrea, Ethiopia)",1970–1991,"10,000s",L,PF,N,RC,V
9,"Ethiopian People’s Revolutionary Army (Ethiopia, Sudan)",1976–1988,"1,000s",L,NF,LW,RC,PT
10,Ethnocacerista (Peru),2000–,100s,LM,F,RW,RC,—
11,Eva Peron Organization (Argentina),1990,10s,LM,F,LW,PC,PT
12,Evan Mecham Eco-Terrorist International Conspiracy (U.S.),1986–1989,10s,H,F,LW,PC,PO
13,"Extraditables, The (Colombia)",1987–1991,10s,LM,PF,LW,PC,V
14,EZLN (Mexico),1983–2005,"1,000s",UM,F,LW,PC,PT
15,Farabundo Marti National Liberation Front (El Salvador),1979–1991,"10,000s",LM,PF,LW,RC,PT
