	Organization	Operating	Peak Size	Econ.a	Regimeb	Typec	Goald	Endede
0	Lashkar-I-Omar (Pakistan)	2001–	10s	L	NF	R	RC	—
1	Laskar Jihad (Indonesia)	2000–	10,000s	LM	F	R	RC	—
2	Latin American Patriotic Army (Colombia, Venezuela)	2001	10s	UM	PF	LW	RC	S
3	Lautaro Youth Movement (Chile)	1983–1994	100s	UM	F	LW	RC	PO
4	Lebanese Arab Youth (Lebanon)	1977	10s	LM	PF	N	PC	S
5	Lebanese Armed Revolutionary Faction (Lebanon)	1979–1986	100s	LM	PF	LW	RC	PO
6	Lebanese Liberation Front (Lebanon)	1987–1989	10s	LM	NF	N	PC	PO
7	Lebanese National Resistance Front (Lebanon)	1982–1990	100s	LM	NF	LW	RC	S
8	Lebanese Socialist Revolutionary Organization (Lebanon)	1973–1974	10s	LM	F	LW	PC	PO
9	Liberation Front of Quebec (Canada)	1963–1972	100s	H	F	N	TC	PO
10	Liberation Tigers of Tamil Eelam (Sri Lanka)	1976–	10,000s	LM	PF	N	TC	—
11	Libyan Islamic Fighitng Group (Libya)	1995–	100s	UM	NF	R	RC	—
12	Lord’s Resistance Army (Democratic Republic of the Congo,	1992–	1,000s	L	PF	R	RC	—
13	Sudan, Uganda)							
14	Los Macheteros (Puerto Rico, U.S.)	1976–1999	10s	UM	F	N	RC	PO
15	Loyalist Volunteer Force (Northern Ireland, UK)	1997–2003	100s	H	F	N	SQ	PT
