	Organization	Operating	Peak Size	Econ.a	Regimeb	Typec	Goald	Endede
0	Fatherland and Liberty Nationalist Front (Chile)	1999–2000	10s	UM	F	RW	PC	V
1	February 28 Popular Leagues (El Salvador)	1978–1991	100s	LM	PF	LW	RC	PT
2	Fedayeen Khalq (Iran)	1979–1988	10s	UM	NF	LW	RC	PO
3	Fighting Jewish Organization (Israel, West Bank/Gaza)	1993–1995	10s	H	F	N	TC	S
4	First of October Antifascist Resistance Group (Spain)	1975–2006	100s	H	F	LW	RC	PO
5	Five Cs (Italy)	2002–	10s	H	F	LW	SR	—
6	For a Revolutionary Perspective (Switzerland)	2001	10s	H	F	LW	SR	PT
7	Francs Tireurs (France)	1991–1998	10s	H	F	LW	PC	PO
8	Free Aceh Movement (Indonesia, Malaysia, Sweden)	1975–2005	1,000s	LM	PF	N	TC	PT
9	Free Greeks (Greece)	1967–1974	100s	UM	F	N	RC	V
10	Free Papua Movement (Indonesia, Papua New Guinea)	1963–	100s	LM	PF	N	TC	—
11	Free People of Galilee (Israel)	2003	10s	H	F	N	TC	PO
12	Free South Moluccan Youth’s (Netherlands)	1975–1978	10s	H	F	N	TC	PO
13	Free Vietnam Revolutionary Group (Philippines, Thailand,	2001	10s	LM	F	N	RC	S
14	Vietnam, U.S.)							
15	Freedom for Mumia Abu-Jamal (Switzerland)	1999	10s	H	F	LW	PC	PT
