	Organization	Operating	Peak Size	Econ.a	Regimeb	Typec	Goald	Endede
0	Popular Revolutionary Action (Greece)	2003–2005	10s	H	F	LW	SR	PO
1	Popular Revolutionary Army (Mexico)	1996–	100s	UM	F	LW	RC	—
2	Popular Revolutionary Resistance Group (Greece)	1971–1972	10s	UM	NF	N	RC	V
3	Popular Revolutionary Vanguard (Brazil)	1968–1973	100s	LM	PF	LW	RC	MF
4	Popular Self-Defense Forces (Democratic Republic of the	1993–	1,000s	L	NF	N	SQ	—
5	Congo)							
6	Proletarian Combatant Groups (Italy)	2004–	10s	H	F	LW	SR	—
7	Proletarian Nuclei for Communism (Italy)	2003–	10s	H	F	LW	SR	—
8	Protectors of Islam Brigade (Iraq)	2005	10s	LM	NF	R	RC	S
9	Pueblo Reagrupado (Chile)	2002	10s	UM	F	LW	PC	PT
10	Puerto Rican Resistance Movement (Puerto Rico, U.S.)	1981	10s	H	F	N	RC	S
11	Purbo Banglar Communist Party (Bangladesh)	2002–	100s	L	PF	LW	RC	—
12	Rajah Solaiman Movement (Philippines)	2002–	100s	LM	PF	R	RC	—
13	Raul Sendic International Brigade (France, Uruguay)	1974	10s	H	F	LW	SR	PO
14	Real Irish Republican Army (Ireland, Northern Ireland, UK)	1998–	100s	H	F	N	TC	—
15	Rebel Armed Forces (Guatemala)	1962–1996	1,000s	LM	PF	LW	RC	PT
