,Organization,Operating,Peak Size,Econ.a,Regimeb,Typec,Goald,Endede
0,Heroes of Palestine (Colombia),1991,10s,LM,PF,LW,PC,S
1,Hizballah (Lebanon),1982–,"1,000s",UM,PF,R,RC,—
2,Hikmatui Zihad (Bangladesh),2004,10s,L,PF,R,RC,S
3,Hisba (Nigeria),2000–,100s,L,PF,R,PC,—
4,"Hizb-I Islami Gulbuddin (Afghanistan, Pakistan)",1977–,100s,L,PF,R,RC,—
5,Hizbul Mujahideen (Pakistan),1989–,100s,L,NF,R,TC,—
6,Holders of the Black Banners (Iraq),2004–,10s,LM,NF,R,RC,—
7,HPG (Turkey),1999–,"1,000s",UM,PF,N,TC,—
8,Iduwini Youths (Nigeria),1998–,"1,000s",L,PF,N,PC,—
9,"Independent Armed Revolutionary Movement (Cuba, Puerto",1956–1971,10s,H,F,N,RC,PO
10,"Rico, U.S.)",,,,,,,
11,Indigenous People’s Federal Army (Philippines),2001–,10s,LM,PF,N,RC,—
12,"Inevitables, The (Bolivia)",2003,10s,LM,PF,LW,PC,PT
13,Informal Anarchist Federation (Italy),2003–,100s,H,F,LW,SR,—
14,Ingush Jama’at Shariat (Russia),2006–,10s,UM,NF,N,TC,—
15,International Communist Group (Italy),1984,10s,H,F,LW,SR,S
